source,target
«жонглирование» исключениями,exception juggling
произвольные данные,arbitrary data
переходная таблица,transition table
уровень строк,row level
уровень оператора,statement level
событийный триггер,event trigger
триггерная функция,trigger function
язык описания данных,data definition language
язык манипулирования данными,data manipulation language
неявное выполнение триггеров,implicit trigger execution
счетчик,counter
отладка,debugging
отладчик,debugger
"проверка условий, которые всегда должны выполняться",sanity check
точка прерывания,breakpoint
служебное сообщение,debug message
трассировка,tracing
парольная аутентификация,password authentication
управляющая функция,control function
логическое резервирование,logical backup
администратор баз данных,database administrator
физическое резервирование,physical backup
консоль,terminal
разделитель,delimiter
параллелизм,parallel execution
параллельная выгрузка,parallel backup
сокет,socket
заголовок страницы,page header
версия строки,row version
указатель,pointer
специальное пространство,special space
служебная информация,metadata
нулевая страница,metapage
указатель на версии строк,item pointer
битовая карта неопределенных значений,null bitmap
вложенная транзакция,subtransaction
обработка исключений,exception handling
бит-подсказка,hint bit
слой,fork
