ru,en,reasoning
"Тема 4 «Подходы к настройке» значительно расширяет несколько примеров из старой темы «Привилегии», демонстрируя, как изученные механизмы могут применяться в различных ситуациях, чтобы избежать использования суперпользовательских прав.","Topic 4, ""Configuration Approaches,"" greatly expands on several examples from the former ""Privileges"" topic, showing how the mechanisms covered can be applied in various situations to avoid the need for superuser privileges.",
Тема 5 «Подключение и аутентификация» в целом соответствует прежней одноименной теме.,"Topic 5, ""Connection and Authentication,"" generally corresponds to the previous topic of the same name.",
Темы 6 «Использование SSL» и 7 «Внешняя аутентификация» — полностью новые.,"Topics 6, ""Using SSL,"" and 7, ""External Authentication,"" are entirely new.",
"В первой из них рассказывается об SSL-подключениях, во второй — про аутентификацию с помощью LDAP и Kerberos.","The first covers SSL connections, while the second discusses authentication using LDAP and Kerberos.",
В курсе используется запись фрагментов конфигурации в отдельные конфигурационные файлы в каталогах pg_hba.conf.d и pg_ident.conf.d.,The course now utilizes the practice of writing configuration snippets into separate configuration files within the conf.d directory.,
Преподавателю необходимо изучить документ «Изменения в материалах курса» (https://edu.postgrespro.ru/16/dbs-16/dbs_new_features.pdf).,Instructors should study the document New features in DBA1-13 → DBA1-16 course materials (https://edu.postgrespro.com/16/dba1-16-en/dba1_new_features.pdff).,
В нем содержится информация,It contains information,
"о наиболее важных изменениях, появившихся в версиях 14, 15 и 16 и нашедших отражение","about the most important changes introduced in versions 14, 15, and 16 that are reflected in this course.",
в курсе.,in the course.,
Методические указания к темам курса,Instructional Guidelines,
Общие замечания,General Comments,
"Курс предназначен в первую очередь администраторам, вопросы по его материалам входят в сертификационные тесты для администраторов.","This course is intended primarily for database administrators, and questions based on its material are included in the certification exams for administrators.",
"Однако необходимая вводная тема «Обзор управления доступом» есть также в курсе DEV1, поэтому курс (особенно первый модуль) можно рекомендовать и разработчикам.","However, since the essential introductory topic ""Access Control Overview"" is also part of the DEV1 course, this course (especially its first module) can be recommended to developers as well.",
Курс занимает меньше полных двух дней.,The course takes less than two full days to complete.,
На усмотрение преподавателя можно задействовать остающееся время решениями дополнительных практик.,"At the instructor's discretion, any remaining time can be used to work through additional exercises.",
Модуль «Управление доступом»,Access Control Module,
1. Роли и привилегии,1. Roles and Privileges,
"В этой теме мы вводим понятия ролей, атрибутов и привилегий, но не затрагиваем включение ролей друг в друга.","This topic introduces the concepts of roles, attributes, and privileges, without covering role membership.",
"Материал должен быть знаком слушателям курсов DBA1 и DEV1, но повторение — мать учения.","This material should already be familiar to students from the DBA1 and DEV1 courses, but repetition never hurts.",
"На слайде 6 упоминается, что владелец объекта имеет права на действия, не регулируемые привилегиями.",Slide 6 mentions that an object's owner has permissions for actions that are not governed by privileges.,
"Пример действия над объектом, которое недоступно владельцу — установка признака герметичности (leakproof) для функции.",An example of an action on an object that is not available to its owner is setting the leakproof attribute for a function.,
Этот пример рассматривается позже в теме 3.,"This example is discussed later, in Topic 3.",
2. Членство в ролях,2.              Role Membership,
Эта тема полностью посвящена включению ролей в другие роли.,This topic is entirely devoted to how roles can be made members of other roles.,
Наиболее важный момент в ней — параметры членства.,The most important point in this topic is membership parameters.,
"Это понятие отсутствовало в PostgreSQL 13 и может вызвать вопросы у слушателей, знакомых с предыдущей версией курса или имеющих опыт работы с предыдущими версиями PostgreSQL.","This concept did not exist in PostgreSQL 13, so it may raise questions among students familiar with the previous version of the course or with earlier versions of PostgreSQL.",
3. Доступ на уровне строк,3. Row-Level Access Control,
"В этой теме мы показываем, как задача разграничения доступа на уровне строк может решаться традиционными средствами (табличными функциями или представлениями) и с помощью политик защиты строк.",This topic shows how row-level access control can be implemented using traditional means (table functions or views) as well as row security policies.,
Такое сравнение делает более понятным многие механизмы.,This comparison helps clarify a number of underlying mechanisms.,
4. Подходы к настройке,4. Tuning Styles,
"Эта тема завершает модуль, показывая на примерах различные варианты использования изученных средств управления доступом.",This topic wraps up the module by using examples to demonstrate various ways of applying the access control tools covered so far.,
Ее задача — закрепить пройденное и показать гибкость возможностей настройки в зависимости от требований.,Its purpose is to reinforce the material covered and demonstrate how configuration options can be flexibly adapted to different requirements.,
Модуль «Методы аутентификации»,Simple authentication methods,
5. Подключение и аутентификация,5.              Connections and Authentication,
"В этой теме мы знакомим слушателей с тем, как происходит аутентификация, и с базовыми методами аутентификации, включая парольные.","This topic introduces students to how authentication works and covers basic authentication methods, including password authentication.",
6. Использование SSL,6. Using SSL,
"Эта тема посвящена применению SSL как для шифрования трафика, так и для аутентификации сервера и клиента.",This topic covers the use of SSL both for encrypting traffic and for authenticating the server and client.,
"В начале темы дается очень краткое введение в криптографию, позволяющее «не потеряться» тем, кто не знаком с этим предметом.","The topic opens with a very brief introduction to cryptography, so students unfamiliar with the subject won't feel lost.",
7. Внешняя аутентификация,7. External authentication,
"В этой теме рассматривается аутентификация с помощью таких популярных внешних систем, как LDAP и Kerberos.",This topic covers authentication using popular external systems such as LDAP and Kerberos.,
Основы безопасности PostgreSQL 16,PostgreSQL 16 Database Security,
Тема,Topic,
Описание изменения,Feature description,
Версия,Version,
Документация,Documentation,
Дополнительные ресурсы,Reference resources,
Управление доступом,Access Control,
01. Роли и привилегии,01. Roles and Privileges,
Возможность предоставлять пользователям (GRANT) право изменения отдельных серверных переменных командами SET и ALTER SYSTEM (Марк Дилгер).,Ability to grant users (GRANT) permission to change individual server variables using the SET and ALTER SYSTEM commands (Mark Dilger).,
15,15,
Право изменения параметров конфигурации,and reset the configuration.,
PostgreSQL 15: Часть 5 или Коммитфест 2022-03,PostgreSQL 15: part 5 or CommitFest 2022-03.,
02. Членство в ролях,02.              Role Membership,
Добавление предопределённых ролей pg_read_all_data и pg_write_all_data (Стивен Фрост).,Adding predefined roles pg_read_all_data and pg_write_all_data (Stephen Frost).,
14,14,
Предопределенные роли,Predefined roles,
PostgreSQL 14: Часть 5 или «весенние заморозки» (Коммитфест 2021-03),"PostgreSQL 14: part 5 or ""Spring freeze"" CommitFest 2021-03 (in Russian)",
Лишение роли PUBLIC права создания объектов в схеме public (Ной Миш).,Revoking the PUBLIC role's privilege to create objects in the public schema (Noah Misch).,
По умолчанию теперь применяется один из шаблонов безопасного использования схем.,"By default, one of the secure schema usage patterns is now applied.",
15,15,
Схема public,Public schema,
5.9.6. Шаблоны использования,5.9.6.              Usage Patterns,
PostgreSQL 15: Часть 2 или Коммитфест 2021-09,"PostgreSQL 15: part 2, or Commitfest 2021-09 (in Russian)",
"Лишение ролей подразумеваемого по умолчанию права ADMIN OPTION, которое они имели для собственной роли (Роберт Хаас).",Revoking the implicit ADMIN OPTION that roles previously held by default on themselves (Robert Haas).,
15,15,
Создание ролей,Create roles,
PostgreSQL 15: Часть 5 или Коммитфест 2022-03,PostgreSQL 15: part 5 or CommitFest 2022-03.,
"Добавление предопределённой роли pg_checkpoint, членам которой разрешено выполнять команду CHECKPOINT (Джефф Девис).","Adding the predefined role pg_checkpoint, whose members are allowed to run the CHECKPOINT command (Jeff Davis).",
15,15,
Предопределённые роли,Predefined Roles,
PostgreSQL 15: Часть 3 или Коммитфест 2021-11,PostgreSQL 15: Part 3 or Commitfest 2021-11,
Недопущение удаления прав суперпользователя для начального суперпользователя (Роберт Хаас).,             Prevent removal of superuser privileges for the bootstrap user (Robert Haas),
У созданного при инициализации кластера пользователя (Bootstrap Superuser) нельзя отобрать полномочия суперпользователя.,The user created during cluster initialization now can't be stripped of superuser privileges,
16,16,
ALTER ROLE,ALTER ROLE,
Атрибуты ролей,             Role Attributes,
PostgreSQL 16: Часть 1 или Коммитфест 2022-07,PostgreSQL 16: part 1 or CommitFest 2022-07,
Добавление отслеживания зависимостей праводателей для записей GRANT (Роберт Хаас).,Adding dependency tracking for grantors in GRANT records (Robert Haas).,
Это гарантирует актуальность значений в pg_auth_members.grantor.,This ensures that the values in pg_auth_members.grantor stay up to date.,
16,16,
GRANT,             GRANT,
Каталог pg_auth_members,pg_auth_members catalog,
PostgreSQL 16: Часть 2 или Коммитфест 2022-09,PostgreSQL 16: part 2 or CommitFest 2022-09,
"Возможность ролям, создающим другие роли, автоматически наследовать новые права ролей или выполнять SET ROLE для новой роли (Роберт Хаас, Ши Юй).","Roles that create other roles can now automatically inherit the privileges of the new roles or perform SET ROLE on them (Robert Haas, Shi Yu).",
pg_auth_members: членство в ролях и наследование привилегий.,pg_auth_members: role membership and privilege inheritance,
16,16,
GRANT,             GRANT,
Каталог pg_auth_members,pg_auth_members catalog,
PostgreSQL 16: Часть 2 или Коммитфест 2022-09,PostgreSQL 16: part 2 or CommitFest 2022-09,
Возможность использовать SET ROLE в GRANT (Роберт Хаас).,Ability to use SET ROLE in GRANT (Robert Haas).,
16,16,
GRANT,             GRANT,
SET ROLE,             SET ROLE,
PostgreSQL 16: Часть 3 или Коммитфест 2022-11,PostgreSQL 16: part 3 or CommitFest 2022-11,
Ограничение прав ролей с атрибутом CREATEROLE и их возможности изменять другие роли (Роберт Хаас),Restrict the privileges of roles with the CREATEROLE attribute and their ability to alter other roles (Robert Haas),
Ранее роли с правом CREATEROLE могли изменять разные свойства обычных ролей (не суперпользователей).,"Previously, roles with the CREATEROLE privilege could modify various properties of ordinary (non-superuser) roles.",
"Теперь для изменения некоторых свойств других ролей, включая назначение членства, требуется наличие права ADMIN OPTION.","Now, modifying certain properties of other roles, including granting membership, requires the ADMIN OPTION privilege.",
16,16,
GRANT,             GRANT,
CREATEROLE,CREATEROLE,
PostgreSQL 16: Часть 4 или Коммитфест 2023-01,PostgreSQL 16: part 4 or Commitfest 2023-01,
03. Доступ на уровне строк,03. Row-Level Access Control,
Возможность ограничивать доступ к представлению на основании прав обращающегося к нему пользователя (Кристоф Хейсс).,"             Allow table accesses done by a <link linkend=""sql-createview"">view</link> to optionally be controlled by privileges of the view's caller (Christoph Heiss)",
Ранее при обращении к представлению всегда проверялись права владельца представления.,"Previously, accessing a view always checked the privileges of the view's owner.",
Этот порядок и теперь действует по умолчанию.,This order still applies by default.,
15,15,
CREATE VIEW,CREATE VIEW,
PostgreSQL 15: Часть 5 или Коммитфест 2022-03,PostgreSQL 15: part 5 or CommitFest 2022-03.,
04. Подходы к настройке,04. Tuning Styles,
"Добавление предопределённой роли pg_database_owner, в которую включается только текущий владелец базы данных (Ной Миш).",Add predefined role pg_database_owner that contains only the current database's owner (Noah Misch).,
14,14,
Предопределенные роли,Predefined roles,
PostgreSQL 14: Часть 5 или «весенние заморозки» (Коммитфест 2021-03),"PostgreSQL 14: part 5 or ""Spring freeze"" CommitFest 2021-03 (in Russian)",
Возможность резервировать слоты подключений для членов роли pg_use_reserved_connections (Натан Боссарт).,Allow connection slots to be reserved for members of the pg_use_reserved_connections role (Nathan Bossart).,
16,16,
Предопределенные роли,Predefined roles,
PostgreSQL 16: Часть 4 или Коммитфест 2023-01,PostgreSQL 16: part 4 or Commitfest 2023-01,
Методы аутентификации,             Authentication Methods,
05. Подключение и аутентификация,05.              Connections and Authentication,
Возможность включения в pg_hba.conf и pg_ident.conf многострочных записей (Фабьен Коэльо).,Allow multi-line records in pg_hba.conf and pg_ident.conf (Fabien Coelho).,
"Перенести содержимое записи на следующую строку можно, закончив строку символом обратной косой черты.",             A backslash at the end of a line allows record contents to be continued on the next line.,
14,14,
pg_hba.conf,pg_hba.conf,
pg_ident.conf,pg_ident.conf,
PostgreSQL 14: Часть 2 или «в тени тринадцатой» (Коммитфест 2020-09),"PostgreSQL 14: Part 2, or ""Overshadowed by the Thirteenth"" (Commitfest 2020-09)",
Возможность включать файлы в pg_hba.conf и pg_ident.conf (Жюльен Руо).,Add support for including files in pg_hba.conf and pg_ident.conf (Julien Rouhaud).,
"Для этого используются директивы include, include_if_exists и include_dir.","This is done using the include, include_if_exists, and include_dir directives.",
Системные представления pg_hba_file_rules и pg_ident_file_mappings теперь выводят имя включаемого файла.,The pg_hba_file_rules and pg_ident_file_mappings system views now display the name of the included file.,
16,16,
pg_hba_file_rules,             pg_hba_file_rules,
pg_ident_file_mappings,             pg_ident_file_mappings,
PostgreSQL 16: Часть 3 или Коммитфест 2022-11,PostgreSQL 16: part 3 or CommitFest 2022-11,
Добавление поддержки регулярных выражений для имён баз данных и ролей в pg_hba.conf (Бертран Друво).,             Add support for regular expression matching on database and role entries in <filename>pg_hba.conf</filename> (Bertrand Drouvot),
16,16,
pg_hba.conf,pg_hba.conf,
PostgreSQL 16: Часть 3 или Коммитфест 2022-11,PostgreSQL 16: part 3 or CommitFest 2022-11,
Улучшение обработки пользовательских столбцов pg_ident.conf в соответствии с pg_hba.conf (Йелте Феннема).,Improve handling of user columns in <filename>pg_ident.conf</filename> to align with <filename>pg_hba.conf</filename> (Jelte Fennema).,
"В частности, добавлена поддержка специального значения all, проверки членства в ролях с использованием + и регулярных выражений, начинающихся с косой черты.","In particular, this adds support for the special value all, checking role membership using +, and regular expressions starting with a slash.",
16,16,
pg_ident.conf,pg_ident.conf,
PostgreSQL 16: Часть 3 или Коммитфест 2022-11,PostgreSQL 16: part 3 or CommitFest 2022-11,
Добавление параметра подключения require_auth в libpq для указания списка допустимых методов аутентификации (Джейкоб Чемпион).,Add the require_auth connection parameter to libpq for specifying a list of allowed authentication methods (Jacob Champion).,
"Кроме того, в этом параметре можно запретить определённые методы аутентификации.",             This can also be used to disallow certain authentication methods.,
16,16,
require_auth,             require_auth,
PostgreSQL 16: Часть 5 или Коммитфест 2023-03,PostgreSQL 16: part 5 or Commitfest 2023-03,
Добавление функции SYSTEM_USER (Бертран Друво).,Add the SYSTEM_USER function (Bertrand Drouvot).,
Она выводит метод аутентификации и имя аутентифицированного пользователя.,             This reports the authentication method and its authenticated user.,
16,16,
SYSTEM_USER,system_user,
PostgreSQL 16: Часть 2 или Коммитфест 2022-09,PostgreSQL 16: part 2 or CommitFest 2022-09,
